StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,SPCMIN,SPCMAX,SPEC,,SPC,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-153935,20181103-153935,NONE,,0.00,CORR TEST START,,,SPC,SPC MIN,SPC MAX,SPEC,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-154751,20181103-154837,OK,,46.25,,A117NoFin,LeftStation,SPC,-10.599,0.190,0.005,-6.082,0.020,5.452,SPC MIN,-10.599,-10.572,-0.002,-6.082,-0.053,5.192,SPC MAX,-10.361,-10.383,0.003,-5.910,0.020,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.599,0.190,0.005,-6.082,0.020,5.452,SPCMIN,-10.599,-10.572,-0.002,-6.082,-0.053,5.192,SPCMAX,-10.361,-10.383,0.003,-5.910,0.020,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.380,-10.703,-10.546,-10.436,-10.322,-10.514,-10.469,-10.376,RawDown,5.423,5.360,5.268,5.088,-6.145,-6.040,-5.965,0.036,0.073,0.089,0.056,0.030,-5.937,0.072,0.103,0.130,-5.854,0.116,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.451,2.783,2.496,2.377,2.367,2.564,2.442,2.344,RawDownGT,2.246,2.230,1.871,1.645,2.284,2.428,2.575,2.089,2.656,2.701,2.652,2.111,2.714,2.250,2.745,2.759,2.758,2.266,
20181103-154844,20181103-154931,OK,,46.47,,A117NoFin,LeftStation,SPC,-10.596,0.189,0.005,-6.082,0.022,5.454,SPC MIN,-10.596,-10.570,-0.002,-6.082,-0.054,5.194,SPC MAX,-10.361,-10.381,0.003,-5.910,0.022,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.596,0.189,0.005,-6.082,0.022,5.454,SPCMIN,-10.596,-10.570,-0.002,-6.082,-0.054,5.194,SPCMAX,-10.361,-10.381,0.003,-5.910,0.022,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.380,-10.696,-10.539,-10.438,-10.320,-10.508,-10.462,-10.372,RawDown,5.424,5.363,5.275,5.094,-6.142,-6.035,-5.962,0.039,0.074,0.088,0.057,0.034,-5.936,0.068,0.103,0.130,-5.855,0.116,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.450,2.776,2.490,2.379,2.365,2.558,2.435,2.340,RawDownGT,2.247,2.232,1.879,1.650,2.287,2.433,2.578,2.092,2.657,2.701,2.653,2.115,2.715,2.246,2.745,2.759,2.757,2.266,
20181103-154939,20181103-155025,OK,,46.80,,A117NoFin,LeftStation,SPC,-10.594,0.186,0.005,-6.081,0.018,5.451,SPC MIN,-10.594,-10.566,-0.002,-6.081,-0.054,5.194,SPC MAX,-10.360,-10.380,0.003,-5.911,0.018,5.451,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.594,0.186,0.005,-6.081,0.018,5.451,SPCMIN,-10.594,-10.566,-0.002,-6.081,-0.054,5.194,SPCMAX,-10.360,-10.380,0.003,-5.911,0.018,5.451,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.380,-10.700,-10.543,-10.436,-10.319,-10.510,-10.465,-10.372,RawDown,5.423,5.361,5.268,5.087,-6.147,-6.041,-5.966,0.035,0.070,0.086,0.054,0.027,-5.940,0.066,0.101,0.127,-5.857,0.110,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.451,2.780,2.493,2.377,2.364,2.560,2.438,2.341,RawDownGT,2.246,2.230,1.872,1.644,2.282,2.427,2.574,2.088,2.653,2.698,2.650,2.108,2.711,2.244,2.742,2.755,2.755,2.261,
20181103-155029,20181103-155115,OK,,46.36,,A117NoFin,LeftStation,SPC,-10.590,0.185,0.005,-6.078,0.016,5.454,SPC MIN,-10.590,-10.566,-0.002,-6.078,-0.056,5.203,SPC MAX,-10.360,-10.381,0.003,-5.912,0.016,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.590,0.185,0.005,-6.078,0.016,5.454,SPCMIN,-10.590,-10.566,-0.002,-6.078,-0.056,5.203,SPCMAX,-10.360,-10.381,0.003,-5.912,0.016,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.379,-10.699,-10.542,-10.436,-10.319,-10.508,-10.464,-10.372,RawDown,5.423,5.361,5.272,5.094,-6.145,-6.040,-5.964,0.035,0.071,0.087,0.056,0.027,-5.939,0.067,0.103,0.128,-5.856,0.111,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.450,2.779,2.493,2.377,2.364,2.558,2.437,2.341,RawDownGT,2.246,2.230,1.876,1.650,2.284,2.428,2.576,2.088,2.654,2.700,2.652,2.108,2.712,2.245,2.745,2.757,2.756,2.262,
20181103-155120,20181103-155206,OK,,46.39,,A117NoFin,LeftStation,SPC,-10.591,0.193,0.005,-6.078,0.020,5.458,SPC MIN,-10.591,-10.569,-0.002,-6.078,-0.055,5.199,SPC MAX,-10.356,-10.376,0.003,-5.907,0.020,5.458,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.591,0.193,0.005,-6.078,0.020,5.458,SPCMIN,-10.591,-10.569,-0.002,-6.078,-0.055,5.199,SPCMAX,-10.356,-10.376,0.003,-5.907,0.020,5.458,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.378,-10.702,-10.545,-10.436,-10.319,-10.510,-10.466,-10.371,RawDown,5.423,5.362,5.268,5.088,-6.147,-6.041,-5.965,0.035,0.071,0.087,0.054,0.028,-5.939,0.067,0.103,0.129,-5.856,0.113,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.449,2.782,2.496,2.377,2.364,2.560,2.439,2.340,RawDownGT,2.246,2.231,1.872,1.645,2.282,2.427,2.575,2.088,2.654,2.700,2.650,2.109,2.712,2.245,2.744,2.758,2.756,2.264,
20181103-155211,20181103-155258,OK,,46.47,,A117NoFin,LeftStation,SPC,-10.595,0.186,0.005,-6.082,0.018,5.452,SPC MIN,-10.595,-10.567,-0.002,-6.082,-0.055,5.198,SPC MAX,-10.361,-10.381,0.003,-5.912,0.018,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.595,0.186,0.005,-6.082,0.018,5.452,SPCMIN,-10.595,-10.567,-0.002,-6.082,-0.055,5.198,SPCMAX,-10.361,-10.381,0.003,-5.912,0.018,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.379,-10.699,-10.540,-10.438,-10.317,-10.506,-10.461,-10.372,RawDown,5.425,5.362,5.272,5.094,-6.145,-6.038,-5.964,0.037,0.072,0.087,0.056,0.030,-5.938,0.067,0.103,0.129,-5.856,0.112,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.450,2.779,2.491,2.379,2.362,2.556,2.434,2.340,RawDownGT,2.248,2.232,1.876,1.651,2.284,2.430,2.576,2.090,2.655,2.700,2.652,2.111,2.713,2.245,2.744,2.757,2.756,2.263,
20181103-155302,20181103-155349,OK,,46.30,,A117NoFin,LeftStation,SPC,-10.584,0.199,0.005,-6.076,0.019,5.460,SPC MIN,-10.584,-10.570,-0.002,-6.076,-0.057,5.206,SPC MAX,-10.350,-10.371,0.003,-5.904,0.019,5.460,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.584,0.199,0.005,-6.076,0.019,5.460,SPCMIN,-10.584,-10.570,-0.002,-6.076,-0.057,5.206,SPCMAX,-10.350,-10.371,0.003,-5.904,0.019,5.460,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.382,-10.696,-10.539,-10.435,-10.318,-10.509,-10.464,-10.373,RawDown,5.421,5.359,5.271,5.094,-6.145,-6.038,-5.965,0.033,0.071,0.086,0.055,0.028,-5.939,0.066,0.103,0.129,-5.856,0.111,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.452,2.776,2.489,2.376,2.363,2.559,2.437,2.341,RawDownGT,2.244,2.229,1.875,1.650,2.284,2.430,2.575,2.086,2.654,2.699,2.651,2.109,2.712,2.244,2.744,2.758,2.756,2.261,
20181103-155353,20181103-155440,OK,,46.47,,A117NoFin,LeftStation,SPC,-10.591,0.184,0.006,-6.079,0.017,5.449,SPC MIN,-10.591,-10.567,-0.003,-6.079,-0.057,5.197,SPC MAX,-10.362,-10.383,0.003,-5.913,0.017,5.449,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.591,0.184,0.006,-6.079,0.017,5.449,SPCMIN,-10.591,-10.567,-0.003,-6.079,-0.057,5.197,SPCMAX,-10.362,-10.383,0.003,-5.913,0.017,5.449,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.379,-10.695,-10.538,-10.435,-10.319,-10.509,-10.463,-10.370,RawDown,5.424,5.362,5.272,5.093,-6.142,-6.036,-5.963,0.036,0.072,0.090,0.058,0.031,-5.937,0.067,0.104,0.130,-5.855,0.112,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.450,2.775,2.489,2.376,2.364,2.559,2.436,2.338,RawDownGT,2.247,2.232,1.876,1.650,2.287,2.432,2.577,2.089,2.655,2.703,2.654,2.112,2.714,2.245,2.745,2.758,2.757,2.263,
20181103-155443,20181103-155530,OK,,46.38,,A117NoFin,LeftStation,SPC,-10.589,0.191,0.005,-6.076,0.020,5.454,SPC MIN,-10.589,-10.569,-0.002,-6.076,-0.056,5.198,SPC MAX,-10.357,-10.377,0.003,-5.906,0.020,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.589,0.191,0.005,-6.076,0.020,5.454,SPCMIN,-10.589,-10.569,-0.002,-6.076,-0.056,5.198,SPCMAX,-10.357,-10.377,0.003,-5.906,0.020,5.454,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.378,-10.701,-10.546,-10.435,-10.319,-10.512,-10.468,-10.373,RawDown,5.423,5.363,5.264,5.086,-6.146,-6.041,-5.965,0.033,0.071,0.087,0.055,0.028,-5.938,0.068,0.103,0.130,-5.855,0.113,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.449,2.781,2.497,2.376,2.364,2.562,2.441,2.341,RawDownGT,2.246,2.233,1.868,1.642,2.283,2.427,2.575,2.086,2.654,2.700,2.651,2.109,2.713,2.246,2.745,2.758,2.757,2.263,
20181103-155534,20181103-155621,OK,,46.39,,A117NoFin,LeftStation,SPC,-10.595,0.190,0.005,-6.081,0.021,5.452,SPC MIN,-10.595,-10.570,-0.002,-6.081,-0.055,5.197,SPC MAX,-10.360,-10.380,0.003,-5.909,0.021,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.595,0.190,0.005,-6.081,0.021,5.452,SPCMIN,-10.595,-10.570,-0.002,-6.081,-0.055,5.197,SPCMAX,-10.360,-10.380,0.003,-5.909,0.021,5.452,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.382,-10.698,-10.541,-10.438,-10.319,-10.509,-10.465,-10.371,RawDown,5.424,5.362,5.270,5.093,-6.143,-6.037,-5.963,0.036,0.073,0.088,0.056,0.031,-5.938,0.069,0.103,0.129,-5.856,0.113,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.452,2.778,2.492,2.379,2.364,2.559,2.438,2.340,RawDownGT,2.247,2.232,1.874,1.650,2.286,2.431,2.577,2.089,2.656,2.700,2.652,2.112,2.713,2.247,2.744,2.758,2.756,2.263,
20181103-155701,20181103-155748,NG,|下表面轮廓度 -6.206 超差|,46.41,,A117NoFin,LeftStation,SPC,-10.672,0.180,0.006,-6.206,-0.033,5.306,SPC MIN,-10.672,-10.634,-0.004,-6.206,-0.048,5.118,SPC MAX,-10.458,-10.454,0.002,-6.036,-0.033,5.306,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.672,0.180,0.006,-6.206,-0.033,5.306,SPCMIN,-10.672,-10.634,-0.004,-6.206,-0.048,5.118,SPCMAX,-10.458,-10.454,0.002,-6.036,-0.033,5.306,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.446,-10.557,-10.511,-10.444,-10.357,-10.480,-10.441,-10.381,RawDown,5.381,5.373,5.313,5.233,-6.095,-6.035,-5.973,0.056,0.097,0.087,0.087,0.044,-5.965,0.042,0.084,0.099,-5.944,0.060,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.516,2.637,2.461,2.385,2.402,2.530,2.414,2.349,RawDownGT,2.204,2.243,1.917,1.790,2.334,2.433,2.567,2.109,2.680,2.699,2.683,2.125,2.686,2.220,2.726,2.728,2.668,2.211,
20181103-155750,20181103-155836,NG,|下表面轮廓度 -6.212 超差|,46.38,,A117NoFin,LeftStation,SPC,-10.683,0.189,0.005,-6.212,-0.033,5.296,SPC MIN,-10.683,-10.643,-0.003,-6.212,-0.055,5.110,SPC MAX,-10.460,-10.454,0.002,-6.035,-0.033,5.296,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.683,0.189,0.005,-6.212,-0.033,5.296,SPCMIN,-10.683,-10.643,-0.003,-6.212,-0.055,5.110,SPCMAX,-10.460,-10.454,0.002,-6.035,-0.033,5.296,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.442,-10.558,-10.514,-10.444,-10.355,-10.479,-10.443,-10.382,RawDown,5.369,5.363,5.311,5.234,-6.093,-6.035,-5.971,0.055,0.101,0.091,0.089,0.045,-5.962,0.044,0.086,0.102,-5.939,0.065,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.512,2.638,2.464,2.385,2.400,2.529,2.416,2.350,RawDownGT,2.192,2.233,1.914,1.791,2.336,2.433,2.569,2.108,2.684,2.703,2.685,2.126,2.689,2.222,2.728,2.731,2.673,2.215,
20181103-155838,20181103-155925,NG,|下表面轮廓度 -6.212 超差|,46.78,,A117NoFin,LeftStation,SPC,-10.681,0.191,0.004,-6.212,-0.031,5.295,SPC MIN,-10.681,-10.643,-0.002,-6.212,-0.055,5.108,SPC MAX,-10.459,-10.453,0.002,-6.033,-0.031,5.295,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.681,0.191,0.004,-6.212,-0.031,5.295,SPCMIN,-10.681,-10.643,-0.002,-6.212,-0.055,5.108,SPCMAX,-10.459,-10.453,0.002,-6.033,-0.031,5.295,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.445,-10.556,-10.511,-10.444,-10.358,-10.481,-10.442,-10.383,RawDown,5.365,5.360,5.308,5.234,-6.092,-6.034,-5.972,0.053,0.098,0.089,0.088,0.043,-5.963,0.044,0.083,0.099,-5.942,0.066,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.515,2.636,2.461,2.385,2.403,2.531,2.415,2.351,RawDownGT,2.188,2.229,1.912,1.790,2.337,2.434,2.568,2.106,2.681,2.702,2.684,2.124,2.688,2.222,2.724,2.728,2.670,2.216,
20181103-155930,20181103-160016,NG,|下表面轮廓度 -6.206 超差|,46.38,,A117NoFin,LeftStation,SPC,-10.674,0.181,0.005,-6.206,-0.033,5.294,SPC MIN,-10.674,-10.635,-0.003,-6.206,-0.053,5.115,SPC MAX,-10.458,-10.454,0.002,-6.034,-0.033,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.674,0.181,0.005,-6.206,-0.033,5.294,SPCMIN,-10.674,-10.635,-0.003,-6.206,-0.053,5.115,SPCMAX,-10.458,-10.454,0.002,-6.034,-0.033,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.444,-10.556,-10.511,-10.444,-10.356,-10.480,-10.441,-10.381,RawDown,5.368,5.360,5.306,5.232,-6.093,-6.034,-5.972,0.054,0.099,0.089,0.087,0.043,-5.964,0.043,0.085,0.101,-5.941,0.064,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.514,2.636,2.462,2.385,2.401,2.530,2.414,2.350,RawDownGT,2.191,2.230,1.909,1.789,2.336,2.434,2.568,2.107,2.682,2.701,2.683,2.124,2.687,2.221,2.726,2.730,2.671,2.214,
20181103-160019,20181103-160106,NG,|下表面轮廓度 -6.210 超差|,46.61,,A117NoFin,LeftStation,SPC,-10.678,0.186,0.003,-6.210,-0.031,5.294,SPC MIN,-10.678,-10.639,-0.002,-6.210,-0.054,5.112,SPC MAX,-10.458,-10.453,0.001,-6.034,-0.031,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.678,0.186,0.003,-6.210,-0.031,5.294,SPCMIN,-10.678,-10.639,-0.002,-6.210,-0.054,5.112,SPCMAX,-10.458,-10.453,0.001,-6.034,-0.031,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.439,-10.558,-10.516,-10.444,-10.354,-10.481,-10.443,-10.381,RawDown,5.370,5.361,5.299,5.232,-6.094,-6.037,-5.971,0.055,0.101,0.091,0.087,0.043,-5.963,0.046,0.086,0.102,-5.937,0.066,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.509,2.638,2.466,2.385,2.399,2.531,2.416,2.349,RawDownGT,2.193,2.230,1.903,1.788,2.335,2.431,2.569,2.108,2.684,2.703,2.683,2.124,2.688,2.224,2.728,2.730,2.675,2.217,
20181103-160110,20181103-160156,NG,|下表面轮廓度 -6.213 超差|,46.57,,A117NoFin,LeftStation,SPC,-10.680,0.189,0.004,-6.213,-0.032,5.295,SPC MIN,-10.680,-10.641,-0.003,-6.213,-0.055,5.108,SPC MAX,-10.460,-10.452,0.002,-6.034,-0.032,5.295,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.680,0.189,0.004,-6.213,-0.032,5.295,SPCMIN,-10.680,-10.641,-0.003,-6.213,-0.055,5.108,SPCMAX,-10.460,-10.452,0.002,-6.034,-0.032,5.295,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.441,-10.557,-10.513,-10.443,-10.353,-10.479,-10.442,-10.383,RawDown,5.368,5.360,5.300,5.232,-6.094,-6.037,-5.971,0.055,0.101,0.090,0.088,0.043,-5.963,0.044,0.086,0.102,-5.938,0.065,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.511,2.637,2.464,2.384,2.398,2.529,2.415,2.351,RawDownGT,2.191,2.230,1.903,1.788,2.335,2.431,2.569,2.108,2.684,2.703,2.684,2.124,2.688,2.222,2.727,2.731,2.674,2.216,
20181103-160159,20181103-160246,NG,|下表面轮廓度 -6.208 超差|,46.74,,A117NoFin,LeftStation,SPC,-10.675,0.185,0.004,-6.208,-0.031,5.292,SPC MIN,-10.675,-10.636,-0.003,-6.208,-0.053,5.108,SPC MAX,-10.456,-10.451,0.001,-6.034,-0.031,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.675,0.185,0.004,-6.208,-0.031,5.292,SPCMIN,-10.675,-10.636,-0.003,-6.208,-0.053,5.108,SPCMAX,-10.456,-10.451,0.001,-6.034,-0.031,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.437,-10.557,-10.515,-10.443,-10.354,-10.480,-10.443,-10.380,RawDown,5.369,5.358,5.297,5.226,-6.094,-6.039,-5.971,0.055,0.100,0.089,0.086,0.039,-5.964,0.046,0.086,0.101,-5.937,0.066,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.508,2.637,2.466,2.384,2.399,2.530,2.416,2.349,RawDownGT,2.192,2.228,1.900,1.782,2.335,2.429,2.569,2.108,2.683,2.701,2.682,2.120,2.687,2.224,2.727,2.730,2.675,2.217,
20181103-160252,20181103-160338,NG,|下表面轮廓度 -6.209 超差|,46.47,,A117NoFin,LeftStation,SPC,-10.678,0.188,0.004,-6.209,-0.030,5.293,SPC MIN,-10.678,-10.640,-0.003,-6.209,-0.055,5.105,SPC MAX,-10.457,-10.452,0.001,-6.034,-0.030,5.293,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.678,0.188,0.004,-6.209,-0.030,5.293,SPCMIN,-10.678,-10.640,-0.003,-6.209,-0.055,5.105,SPCMAX,-10.457,-10.452,0.001,-6.034,-0.030,5.293,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.435,-10.558,-10.519,-10.442,-10.351,-10.481,-10.450,-10.380,RawDown,5.373,5.360,5.294,5.224,-6.094,-6.041,-5.972,0.055,0.102,0.092,0.087,0.041,-5.963,0.048,0.087,0.104,-5.934,0.070,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.506,2.638,2.469,2.383,2.396,2.531,2.423,2.349,RawDownGT,2.196,2.230,1.898,1.781,2.335,2.427,2.568,2.108,2.685,2.704,2.683,2.122,2.688,2.226,2.729,2.733,2.678,2.221,
